Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2021-04-18,56207.1,60043.2,60362.1,51817.6,216.81,-6.39,72
2021-04-11,59978.7,59772.4,60667.1,59250.3,58.2,0.39,54
2021-04-04,58199.9,57059.7,58464.8,56470.6,57.21,2.0,43
2021-03-28,55765.2,55856.9,56504.2,54711.3,58.71,-0.17,46
2021-03-21,57383.8,58097.4,58583.8,55583.3,77.47,-1.22,46
2021-03-14,59113.7,61192.7,61673.7,59113.7,80.29,-3.4,54
2021-03-07,50982.3,48899.0,51434.1,48890.6,82.91,4.35,52
2021-02-28,45164.0,46136.0,46582.0,43100.6,135.08,-2.11,53
2021-02-21,57433.8,55907.6,58335.1,55502.7,87.26,2.7,80
2021-02-14,48643.4,47172.1,49695.1,47051.9,106.5,3.13,73
2021-02-07,38852.9,39228.9,39691.7,37381.6,125.37,-1.03,79
2021-01-31,33108.1,34281.6,34348.3,32189.9,101.92,-3.43,44
2021-01-24,32241.3,32088.5,33034.8,30982.9,88.21,0.47,49
2021-01-17,35839.6,36020.1,36801.3,33883.5,126.82,-0.5,54
2021-01-10,38192.2,40149.7,41362.4,35141.6,215.78,-4.88,83
2021-01-03,32958.9,32192.9,34755.9,32029.6,155.21,2.38,92
2020-12-27,26261.3,26460.3,28360.3,25858.2,231.23,-0.73,100
2020-12-20,23474.9,23843.6,24280.9,23098.9,114.09,-1.55,64
2020-12-13,19176.8,18808.1,19403.6,18716.8,82.45,1.96,62
2020-12-06,19379.9,19146.0,19417.1,18873.0,54.56,1.22,40
2020-11-29,18185.5,17729.7,18336.3,17530.4,79.12,2.57,49
2020-11-22,18412.9,18689.3,18751.5,17644.6,121.76,-1.47,57
2020-11-15,15953.0,16074.7,16158.1,15782.3,58.43,-0.73,51
2020-11-08,15483.7,14826.6,15648.3,14720.7,94.99,4.42,37
2020-11-01,13759.4,13795.5,13889.5,13628.7,51.71,-0.27,37
2020-10-25,13032.2,13117.0,13345.3,12900.4,59.73,-0.65,32
2020-10-18,11506.9,11362.1,11506.9,11349.8,31.51,1.27,31
2020-10-11,11371.0,11295.6,11439.4,11277.6,41.06,0.64,22
2020-10-04,10672.9,10544.4,10693.3,10520.8,31.4,1.22,21
2020-09-27,10776.2,10727.9,10799.2,10602.7,40.92,0.45,21
2020-09-20,10921.5,11081.6,11081.6,10772.7,53.39,-1.45,22
2020-09-13,10326.0,10441.7,10579.6,10219.4,66.12,-1.11,23
2020-09-06,10296.4,10092.2,10337.7,10004.7,12.12,2.02,25
2020-08-30,11702.0,11468.1,11704.2,11462.6,409.36,2.04,28
2020-08-23,11641.6,11661.1,11705.4,11520.8,377.33,-0.17,26
